filename,emeg_original,emeg_sece,emeg_secedct,emeg_ghe,emeg_clahe
100007.jpg,0.9027773303865303,0.9308897143760899,0.9107195361754596,0.9329569704463901,0.9261582435001829
100039.jpg,0.9003384337996618,0.9185352181065845,0.9256905562378022,0.9273479447805288,0.8772994029306741
100099.jpg,0.8791692789719899,0.9116235469254337,0.917768733453412,0.9120733511140602,0.8945266722773385
10081.jpg,0.9002910391117728,0.9212937544270103,0.9033329412770851,0.9236277528306615,0.92012502256524
101027.jpg,0.8927532871379201,0.9303088271190706,0.9030627030371262,0.9326538259686923,0.8994784360797653
101084.jpg,0.8953887325839827,0.9134553982522262,0.9731652778710265,0.9134291735224588,0.8453872713970381
102062.jpg,0.9049847547906202,0.9355818858245938,0.9511195471522406,0.9367585910634526,0.8961874756260788
103006.jpg,0.9022561019359777,0.9131342183911332,0.9373767964159977,0.9170886418158017,0.8946308087649681
103029.jpg,0.8853793326357005,0.9236260312199096,0.9219137540098675,0.924230966412766,0.9080809247322644
103078.jpg,0.9080914051653701,0.9177469652002617,0.9290234518677771,0.9186536203201653,0.915427959831452
104010.jpg,0.9170548257673112,0.9586434759866879,0.9429180768509583,0.9603860525884987,0.9259620116794515
104055.jpg,0.9022487142286284,0.9302257677751711,0.9122941655913406,0.9315172659966924,0.9192950378010357
105027.jpg,0.9045835047144966,0.9464880190417344,0.9451916433241112,0.9481282013003687,0.9075828941783824
106005.jpg,0.8808412694980632,0.8936009392501394,0.8983624409408699,0.8950433085601713,0.8996064068781738
106047.jpg,0.8892394856356641,0.9165900519126425,0.9309880095946619,0.916848204335204,0.9037688403361185
107014.jpg,0.9068389012018115,0.9401698240109617,0.920049861353788,0.9428757184722846,0.9138562077173552
107045.jpg,0.8998251074936783,0.9341614042984332,0.9309302484603026,0.9384786934160827,0.9000781021326184
107072.jpg,0.9169059900730117,0.9387187737815609,0.9188235726379248,0.9393074215493492,0.8997333351541499
108004.jpg,0.9042724724160646,0.9468461892437927,0.9963087928189024,0.9469626117817648,0.8648716937570302
108036.jpg,0.9240313974121195,0.9495132592830822,0.9455017257567444,0.9517780213038212,0.9179606790894611
108069.jpg,0.9200810417320616,0.9501984496699182,0.9404962324810439,0.9510398939577792,0.9314090560194656
109055.jpg,0.8993213093277278,0.9419979611137136,0.9477264510065221,0.9444906409246171,0.918506878751336
112056.jpg,0.8817073399168635,0.9179476624324411,0.913900128752263,0.9190632770017907,0.905718256646554
112090.jpg,0.9119021040949851,0.9308017000188409,0.9366316742992385,0.932421713152425,0.8984837856891024
117025.jpg,0.9083620127779994,0.9273163606008512,0.9446223234501732,0.9292362190007158,0.9063493419493588
118015.jpg,0.8918202581643861,0.9196300560242764,0.9419098306253556,0.9221762405189212,0.9003476174584569
