filename,gmsd_sece,gmsd_secedct,gmsd_ghe,gmsd_clahe
100007.jpg,0.18739121713128337,0.31629805347944084,0.2214705660116332,0.08383276545144494
100039.jpg,0.09106777657764781,0.24171238434719075,0.10105816262602299,0.07966331852031748
100099.jpg,0.11411481834788115,0.24538383124716098,0.11007377316571251,0.07852078231379803
10081.jpg,0.14008919120040172,0.2748998699446119,0.14980920923071644,0.0749551108821383
101027.jpg,0.0976383375228575,0.2567382965039199,0.133057863029089,0.09244621780121272
101084.jpg,0.09206622068911235,0.25608977023260154,0.10103454237730147,0.07787493558606835
102062.jpg,0.090926210215496,0.24979710974421482,0.10544651113547247,0.08751372929857966
103006.jpg,0.05244860191789639,0.2133410035918447,0.07488573867982895,0.07014908939571524
103029.jpg,0.1731347022383434,0.2712465657485533,0.17444748097675167,0.08512564557161051
103078.jpg,0.07979862867307347,0.2497928057255853,0.1000883971899633,0.08538437606517056
104010.jpg,0.16470581179147178,0.2525744460630511,0.17664192374958737,0.08471620644826325
104055.jpg,0.142998607598617,0.2582778292116922,0.15657791475852748,0.08494204885752407
105027.jpg,0.1854639771849151,0.2590619525396989,0.19931337946177463,0.08487787730766215
106005.jpg,0.061861991836114474,0.20878960981666567,0.0621612231921668,0.06336669496759552
106047.jpg,0.11075143353949743,0.23006557359458005,0.11680760584743057,0.06966019342019933
107014.jpg,0.13267797426353503,0.2581476879536526,0.13666870335050754,0.08579848102679762
107045.jpg,0.11984374039463692,0.24712040290549747,0.12063758706648468,0.08116893331551833
107072.jpg,0.06267869944611934,0.22341261184343558,0.06598446075371538,0.08083772080741031
108004.jpg,0.15013551228367708,0.2440118920422202,0.1624320033037285,0.08025734618828184
108036.jpg,0.13823450868974374,0.25860464434623676,0.1610694902597673,0.0844012640382752
108069.jpg,0.12878280899341596,0.260853569902556,0.14755246633002064,0.08065808788817311
109055.jpg,0.15865097775712864,0.26270729651700264,0.17335441299598545,0.07705620762444583
112056.jpg,0.16975921206800998,0.286214745080185,0.17590078331048775,0.08370824789347502
112090.jpg,0.06877000130936613,0.21798103820980455,0.06954623735901307,0.07396775826670433
117025.jpg,0.0688692867852782,0.24000183015496523,0.06880887314101221,0.08493795017880047
118015.jpg,0.07749121223440002,0.2552910691165422,0.10205282746550848,0.07353153150004586
118031.jpg,0.08679597404364156,0.26187340987216706,0.10055550903838754,0.0858888860564229
118072.jpg,0.08723934087850405,0.2182130307959826,0.16085440889664834,0.08605776321880731
120003.jpg,0.049203270756229704,0.20064887761856942,0.1171821473124704,0.06311890688560728
120093.jpg,0.04964690613312472,0.22265703717771435,0.10264035212480963,0.06558083562922833
123057.jpg,0.0782843559695008,0.2326313454558329,0.08344689720391234,0.07754512415472685
128035.jpg,0.07182498391961957,0.24018218825294838,0.06756107074142022,0.07518814273696463
130014.jpg,0.17825095492479726,0.2952423716169756,0.18574692448158797,0.09130668345966447
130066.jpg,0.07763569574087802,0.25613351325873224,0.07920053130316215,0.08292865826131866
134049.jpg,0.07496977782128054,0.23044112817194157,0.09353535381816087,0.07592773147329068
134067.jpg,0.09430208994411664,0.26878035979088943,0.12309501081832354,0.07938344743495204
140006.jpg,0.05186301117757359,0.22818675164228353,0.09693955248739254,0.08076496906134198
140088.jpg,0.09398256647651948,0.2510704645387079,0.11854800373983623,0.08241452420123008
14085.jpg,0.10018459083070191,0.25206294468432305,0.10451893534152065,0.0813464498902669
14092.jpg,0.05887359575056291,0.2518407989209034,0.055242663658615895,0.08095755319239095
141012.jpg,0.08725586522465519,0.25225229624557755,0.1034104059738872,0.07771433607530223
141048.jpg,0.10954480030156846,0.23040633726568271,0.11626923214565282,0.079053434275028
145059.jpg,0.03412128981713639,0.23699565209444762,0.03837463223161719,0.06771707372241645
145079.jpg,0.07864068045130372,0.23359045275412332,0.15068186922987883,0.08427764457036847
146074.jpg,0.10422194782510166,0.2746794005467816,0.16314407189274208,0.06633314975306491
147077.jpg,0.08274526944077913,0.221665743298645,0.10523155252072063,0.08715835945780753
147080.jpg,0.018910827368045648,0.2026925825564517,0.023501961096974798,0.07545678335813981
15011.jpg,0.059096682215565306,0.21616896728358787,0.05771557394703784,0.07976155039838993
15062.jpg,0.039564309925980465,0.23091591957370708,0.049709614293000824,0.08200523160446145
156054.jpg,0.1111394735212605,0.2563512596425376,0.14773567663334122,0.07867822452630928
157032.jpg,0.09397324412058651,0.25725254886980686,0.09090718756467293,0.08058173449189812
157087.jpg,0.0805991426350389,0.2592588369188499,0.17193111135325415,0.07640732835027172
159002.jpg,0.09541100990385813,0.2462565020290714,0.24023376115166992,0.07638917890002511
159022.jpg,0.1583283476527583,0.2695524308326533,0.18116103566698089,0.07174214704165242
160006.jpg,0.08738007504377764,0.2441224588284577,0.11823181266735222,0.06289901646781591
16004.jpg,0.09103094699094466,0.24554007689771143,0.09974831748733672,0.06864832211191478
160067.jpg,0.11244159593522338,0.24303314718926528,0.1463588768673047,0.05125850440968416
